year month day hour minute second millisecond direction;
2024 10 25 12 37 54 843.24 warm;
2024 10 25 12 37 55 304.807 warm;
2024 10 25 12 37 55 840.221 warm;
2024 10 25 12 37 56 81.524 warm;
2024 10 25 12 37 56 369.219 warm;
2024 10 25 12 37 56 734.244 warm;
2024 10 25 12 38 0 299.523 warm;
2024 10 25 12 38 0 659.792 warm;
2024 10 25 12 38 1 18.012 warm;
2024 10 25 12 38 1 429.249 warm;
2024 10 25 12 38 1 921.804 warm;
2024 10 25 12 38 2 371.281 warm;
2024 10 25 12 38 3 238.853 cold;
2024 10 25 12 38 3 291.252 cold;
2024 10 25 12 38 3 569.118 cold;
2024 10 25 12 38 3 871.675 cold;
2024 10 25 12 38 4 241.452 cold;
2024 10 25 12 38 4 617.605 cold;
2024 10 25 12 38 4 980.337 cold;
2024 10 25 12 38 5 379.874 cold;
2024 10 25 12 38 5 758.271 cold;
2024 10 25 12 38 6 170.642 cold;
2024 10 25 12 38 6 610.689 cold;
2024 10 25 12 43 19 859.473 warm;
2024 10 25 12 43 20 381.975 warm;
2024 10 25 12 43 20 919.873 warm;
2024 10 25 12 43 21 322.101 warm;
2024 10 25 12 43 21 710.136 warm;
2024 10 25 12 43 22 170.372 warm;
2024 10 25 12 43 22 641.893 warm;
2024 10 25 12 43 23 97.187 warm;
2024 10 25 12 43 23 598.584 warm;
2024 10 25 12 43 24 110.871 warm;
2024 10 25 12 43 24 741.745 warm;
2024 10 25 12 43 25 168.106 warm;
2024 10 25 12 43 25 767.499 warm;
2024 10 25 12 43 26 517.865 warm;
2024 10 25 12 54 12 871.52 cold;
2024 10 25 13 11 43 337.407 warm;
2024 10 25 13 11 47 380.768 warm;
2024 10 25 13 11 56 218.545 warm;
2024 10 25 14 16 13 518.36 cold;
2024 10 25 14 16 13 857.23 cold;
2024 10 25 14 16 15 577.093 cold;
2024 10 25 14 16 16 165.653 cold;
2024 10 25 14 16 16 476.589 cold;
2024 10 25 14 16 16 534.859 cold;
2024 10 25 14 16 16 765.278 cold;
2024 10 25 14 16 16 828.205 cold;
2024 10 25 14 17 22 918.797 warm;
2024 10 25 14 17 49 132.467 warm;
2024 10 25 14 17 50 119.667 warm;
2024 10 25 14 17 50 642.916 warm;
2024 10 25 14 17 51 329.489 warm;
2024 10 25 14 17 53 509.897 warm;
2024 10 25 14 17 57 200.592 warm;
2024 10 25 14 19 20 241.317 cold;
2024 10 25 14 25 28 689.447 cold;
